id,type,pollster,date,sampleSize,marginError,link,spread_winner,spread_value,harris_value,trump_value,name,slug,polling_start_date,polling_end_date
146630,poll_rcp_avg,NY Times/Siena,8/8 - 8/15,677 LV,0.0,https://www.nytimes.com/interactive/2024/08/17/us/elections/times-siena-poll-arizona-likely-electorate.html,Harris,5.0,50,45,2024 Arizona: Trump vs. Harris,arizona,2024-08-08,2024-08-15
146506,poll_rcp_avg,Trafalgar Group (R),8/6 - 8/8,1000 LV,2.9,https://pollingplus.com/news/pollingplus-exclusive-top-two-presidential-cycle-pollsters-towery-and-cahaly-release-battleground-polls/,Trump,1.0,47,48,2024 Arizona: Trump vs. Harris,arizona,2024-08-06,2024-08-08
146532,poll_rcp_avg,Cook Political Report,7/26 - 8/2,435 LV,0.0,https://www.cookpolitical.com/survey-research/2024-swing-state-project/14Aug2024-toplines,Harris,2.0,48,46,2024 Arizona: Trump vs. Harris,arizona,2024-07-26,2024-08-02
146414,poll_rcp_avg,PPP (D),7/29 - 7/30,618 LV,3.9,https://www.realclearpolling.com/stories/analysis/ppp-georgia-pennsylvania-and-arizona-now-toss-ups-in-trump-harris-race,Trump,2.0,47,49,2024 Arizona: Trump vs. Harris,arizona,2024-07-29,2024-07-30
146333,poll_rcp_avg,Bloomberg/MrnConsult,7/24 - 7/28,804 RV,3.0,https://pro-assets.morningconsult.com/wp-uploads/2024/07/Bloomberg-Swing-State-Wave-10.pdf,Harris,2.0,49,47,2024 Arizona: Trump vs. Harris,arizona,2024-07-24,2024-07-28
146202,poll_rcp_avg,The Hill/Emerson,7/22 - 7/23,800 RV,3.4,https://emersoncollegepolling.com/july-2024-swing-state-polls-harris-trails-trump-in-arizona-georgia-michigan-pennsylvania-tied-in-wisconsin/,Trump,5.0,44,49,2024 Arizona: Trump vs. Harris,arizona,2024-07-22,2024-07-23
146077,poll,InsiderAdvantage,7/15 - 7/16,800 LV,3.5,https://insideradvantage.com/three-more-battleground-polls-trump-leads-in-pa-nv-az-no-post-shooting-bump-but-large-enthusiasm-gap-harris-trails-trump/,Trump,6.0,42,48,2024 Arizona: Trump vs. Harris,arizona,2024-07-15,2024-07-16
146155,poll,PPP (D),7/10 - 7/11,596 RV,0.0,https://www.realclearpolitics.com/docs/2024/PPP_Arizona.pdf,Trump,8.0,44,52,2024 Arizona: Trump vs. Harris,arizona,2024-07-10,2024-07-11
144061,poll,The Hill/Emerson,2/16 - 2/19,1000 RV,3.0,https://emersoncollegepolling.com/arizona-2024-poll-trump-46-biden-43/,Trump,8.0,40,48,2024 Arizona: Trump vs. Harris,arizona,2024-02-16,2024-02-19
142678,poll,NY Times/Siena,10/22 - 11/3,603 LV,4.4,https://www.nytimes.com/2023/11/05/us/politics/biden-trump-2024-poll.html,Trump,5.0,43,48,2024 Arizona: Trump vs. Harris,arizona,2023-10-22,2023-11-03
